code,name,market,foreign_net,sitc_net
6770,力積電,TSE,43775659,12160000
2834,臺企銀,TSE,29798187,-26441
8150,南茂,TSE,28682916,-207000
2002,中鋼,TSE,15591468,-57000
9904,寶成,TSE,15812739,-1372363
2883,凱基金,TSE,13739001,-639382
1402,遠東新,TSE,12663761,1062389
2412,中華電,TSE,13608833,-308016
1101,台泥,TSE,13805006,-17000
6505,台塑化,TSE,3891520,2519000
3045,台灣大,TSE,12363083,-3207182
2867,三商壽,TSE,8266000,0
2105,正新,TSE,11282519,-2020459
2353,宏碁,TSE,8451510,-145304
2884,玉山金,TSE,7519608,23019
2812,台中銀,TSE,7660000,-13504
2891,中信金,TSE,16718152,-9782470
2317,鴻海,TSE,6698538,-1056129
4904,遠傳,TSE,8485730,-1925448
5880,合庫金,TSE,6926612,-325685
2886,兆豐金,TSE,8552378,-4118679
3576,聯合再生,TSE,6481599,0
1301,台塑,TSE,4671924,-19000
5876,上海商銀,TSE,4194366,1115000
2449,京元電子,TSE,3576716,567504
2014,中鴻,TSE,5032000,0
2880,華南金,TSE,7865984,-5022398
1314,中石化,TSE,3524116,0
2801,彰銀,TSE,4175329,-43778
5871,中租-KY,TSE,3607709,763000
8028,昇陽半導體,TSE,4185755,-59000
3231,緯創,TSE,10652932,-6615442
2356,英業達,TSE,9820927,-3950701
2836,高雄銀,TSE,3467891,-4000
2006,東和鋼鐵,TSE,2699930,353000
3481,群創,TSE,-7568,1134443
2618,長榮航,TSE,7953394,-5354703
2609,陽明,TSE,2849935,15864
2646,星宇航空,TSE,2496900,-4000
2892,第一金,TSE,2374212,38973
6141,柏承,TSE,2543466,0
2603,長榮,TSE,2738710,-375821
2104,國際中橡,TSE,2092687,0
3413,京鼎,TSE,1590711,88000
2845,遠東銀,TSE,1184303,646000
1312,國喬,TSE,1218576,0
9945,潤泰新,TSE,1833840,0
6213,聯茂,TSE,1664774,-26000
2527,宏璟,TSE,1652102,0
2201,裕隆,TSE,1363217,-3000
3026,禾伸堂,TSE,1714072,90000
6919,康霈*,TSE,1514153,-3000
2486,一詮,TSE,970420,169000
2633,台灣高鐵,TSE,999050,345000
2501,國建,TSE,1286011,0
1210,大成,TSE,588000,381000
8422,可寧衛*,TSE,1105056,44000
2903,遠百,TSE,1137000,-4000
1718,中纖,TSE,1501000,0
1714,和桐,TSE,1191346,0
9941,裕融,TSE,1119050,0
1504,東元,TSE,799719,92671
5434,崇越,TSE,831260,210107
2347,聯強,TSE,3081878,-2129000
2101,南港,TSE,1027581,0
2504,國產,TSE,1045002,-4000
8039,台虹,TSE,678004,0
1229,聯華,TSE,980181,-5000
2467,志聖,TSE,1040322,-2711
8105,凌巨,TSE,969000,0
4938,和碩,TSE,2638928,-1884000
2441,超豐,TSE,488801,122000
1907,永豐餘,TSE,808850,-6000
8081,致新,TSE,781828,64000
1215,卜蜂,TSE,803000,0
3149,正達,TSE,746170,0
2106,建大,TSE,732000,-4000
2442,新美齊,TSE,734000,0
7799,禾榮科,TSE,707360,0
1808,潤隆,TSE,717649,0
4763,材料*-KY,TSE,168947,436000
2913,農林,TSE,697054,0
2897,王道銀行,TSE,565768,0
3056,富華新,TSE,681339,0
2890,永豐金,TSE,4165444,-6779624
2548,華固,TSE,693000,0
2455,全新,TSE,551529,2000
3711,日月光投控,TSE,-1016512,1277367
1723,中碳,TSE,610726,0
6243,迅杰,TSE,687000,0
9907,統一實,TSE,1899000,-1287000
2539,櫻花建,TSE,618310,0
2031,新光鋼,TSE,568635,0
2458,義隆,TSE,263613,295000
2912,統一超,TSE,-92544,605713
9938,百和,TSE,540964,0
2476,鉅祥,TSE,326959,0
3034,聯詠,TSE,1234260,-734677
2385,群光,TSE,1564286,-930795
6592,和潤企業,TSE,492853,0
1201,味全,TSE,487124,0
3703,欣陸,TSE,481000,-1000
1436,華友聯,TSE,487000,0
2034,允強,TSE,442998,0
2537,聯上發,TSE,479558,0
2489,瑞軒,TSE,440313,-1000
2371,大同,TSE,474480,0
2542,興富發,TSE,-66654,370000
2493,揚博,TSE,491448,2000
2375,凱美,TSE,470825,0
5534,長虹,TSE,433853,0
2393,億光,TSE,-931180,281000
6414,樺漢,TSE,522981,56000
3044,健鼎,TSE,975201,-587962
2520,冠德,TSE,405521,-2000
1232,大統益,TSE,419791,0
1219,福壽,TSE,414698,0
2049,上銀,TSE,328531,-56087
3005,神基,TSE,1127000,-746000
6177,達麗,TSE,334223,50000
2348,海悅,TSE,334704,0
2540,愛山林,TSE,374527,0
3003,健和興,TSE,359074,0
2511,太子,TSE,368122,0
6271,同欣電,TSE,531156,-308000
5522,遠雄,TSE,337205,11000
2905,三商,TSE,283000,0
3617,碩天,TSE,377000,0
9940,信義,TSE,346817,0
2399,映泰,TSE,362300,-7000
2481,強茂,TSE,655415,0
2207,和泰車,TSE,333279,5439
6214,精誠,TSE,337620,0
6573,虹揚-KY,TSE,329700,0
2889,國票金,TSE,284000,0
6449,鈺邦,TSE,336086,0
6605,帝寶,TSE,325416,0
3029,零壹,TSE,323450,0
4770,上品,TSE,87252,200000
6550,北極星藥業-KY,TSE,330460,0
3055,蔚華科,TSE,220004,0
1476,儒鴻,TSE,327159,7371
1231,聯華食,TSE,312491,-1000
4960,誠美材,TSE,312000,0
2354,鴻準,TSE,284512,5000
3712,永崴投控,TSE,312100,0
1515,力山,TSE,291880,0
6196,帆宣,TSE,205402,60000
9942,茂順,TSE,130649,0
9802,鈺齊-KY,TSE,404564,-114000
2534,宏盛,TSE,277048,0
1227,佳格,TSE,273000,-2000
3008,大立光,TSE,953,220929
1517,利奇,TSE,264000,0
4807,日成-KY,TSE,259994,0
2614,東森,TSE,267000,0
4306,炎洲,TSE,248413,0
6834,天二科技,TSE,267131,0
7610,聯友金屬-創,TSE,254007,0
3450,聯鈞,TSE,271202,1000
2206,三陽工業,TSE,51000,226000
9933,中鼎,TSE,235977,-3000
2530,華建,TSE,247000,-2000
6706,惠特,TSE,240000,0
1734,杏輝,TSE,233912,0
2459,敦吉,TSE,229076,0
2357,華碩,TSE,309566,-119532
6176,瑞儀,TSE,187629,0
6789,采鈺,TSE,223629,-1000
3645,達邁,TSE,233268,-5000
6405,悅城,TSE,212000,0
1310,台苯,TSE,220253,0
2030,彰源,TSE,214019,0
2543,皇昌,TSE,208754,-1000
8464,億豐,TSE,211909,1996
2015,豐興,TSE,192000,0
1773,勝一,TSE,183086,-1000
1563,巧新,TSE,200286,0
8271,宇瞻,TSE,127695,-5000
2102,泰豐,TSE,191000,0
1477,聚陽,TSE,180941,31000
3653,健策,TSE,-41053,207672
1733,五鼎,TSE,188000,0
2882,國泰金,TSE,4941,-194367
1809,中釉,TSE,199280,0
1217,愛之味,TSE,175000,0
4736,泰博,TSE,179360,0
9910,豐泰,TSE,133969,42000
9917,中保科,TSE,75680,98000
6937,天虹,TSE,90027,0
6949,沛爾生醫-創,TSE,189843,0
1909,榮成,TSE,157000,0
2010,春源,TSE,163635,0
1522,堤維西,TSE,167000,0
2488,漢平,TSE,165000,0
8404,百和興業-KY,TSE,158000,0
3406,玉晶光,TSE,185735,-43000
6670,復盛應用,TSE,305020,0
2204,中華,TSE,105000,-2000
1103,嘉泥,TSE,141000,0
4551,智伸科,TSE,93066,53000
4977,眾達-KY,TSE,155647,-3000
4956,光鋐,TSE,197548,-3000
6166,凌華,TSE,189477,0
2528,皇普,TSE,140950,0
2305,全友,TSE,124467,-2000
8996,高力,TSE,184002,-86022
5258,虹堡,TSE,141000,0
2020,美亞,TSE,136000,0
1216,統一,TSE,-1702373,1214774
4564,元翎,TSE,134006,0
4155,訊映,TSE,131361,0
2820,華票,TSE,121000,0
6790,永豐實,TSE,131017,0
3035,智原,TSE,183732,0
4582,聚恆-創,TSE,125970,0
8341,日友,TSE,124100,0
1721,三晃,TSE,125501,0
2607,榮運,TSE,120079,0
6165,浪凡,TSE,123221,0
2753,八方雲集,TSE,123000,1000
2849,安泰銀,TSE,118000,0
9919,康那香,TSE,120002,0
2233,宇隆,TSE,123920,0
2316,楠梓電,TSE,101557,0
4576,大銀微系統,TSE,78144,0
3052,夆典,TSE,111000,0
2536,宏普,TSE,110000,0
2369,菱生,TSE,239817,0
1722,台肥,TSE,113295,-3000
1615,大山,TSE,107000,0
1604,聲寶,TSE,105000,0
5306,桂盟,TSE,65000,40000
6456,GIS-KY,TSE,110880,0
2524,京城,TSE,107000,0
1732,毛寶,TSE,108000,0
5269,祥碩,TSE,60077,49000
3705,永信,TSE,90000,0
5907,大洋-KY,TSE,102000,0
1904,正隆,TSE,91881,-4000
7780,大研生醫*,TSE,96000,0
1526,日馳,TSE,96000,0
2850,新產,TSE,96240,-1000
6944,兆聯實業,TSE,87982,-1000
2017,官田鋼,TSE,94000,0
4540,全球傳動,TSE,98000,0
1598,岱宇,TSE,97000,0
6533,晶心科,TSE,92869,0
2545,皇翔,TSE,85000,0
4566,時碩工業,TSE,93000,0
2706,第一店,TSE,87000,0
4106,雃博,TSE,88000,0
9934,成霖,TSE,85249,0
1467,南緯,TSE,86100,0
2497,怡利電,TSE,82197,0
4555,氣立,TSE,83361,0
1806,冠軍,TSE,79000,0
2368,金像電,TSE,364451,-285200
6205,詮欣,TSE,78263,0
6743,安普新,TSE,80000,0
4104,佳醫,TSE,80000,0
2025,千興,TSE,40280,0
1736,喬山,TSE,78230,-1000
3090,日電貿,TSE,2524624,-2395000
2608,嘉里大榮,TSE,72000,0
2616,山隆,TSE,76000,0
1432,大魯閣,TSE,77000,0
8016,矽創,TSE,96303,-9000
2429,銘旺科,TSE,70000,0
9921,巨大,TSE,5000,-1000
1309,台達化,TSE,66000,0
2908,特力,TSE,65006,0
1417,嘉裕,TSE,66000,0
2362,藍天,TSE,52000,0
9930,中聯資源,TSE,62000,0
2636,台驊控股,TSE,79000,1000
1307,三芳,TSE,70681,0
6541,泰福-KY,TSE,62000,0
6657,華安,TSE,63000,0
8473,山林水,TSE,65300,0
3661,世芯-KY,TSE,21065,11108
5706,鳳凰,TSE,61070,0
6024,群益期,TSE,57750,1000
4585,達明,TSE,66860,0
4441,振大環球,TSE,59000,0
9927,泰銘,TSE,57000,0
3046,建碁,TSE,53000,0
2852,第一保,TSE,55830,0
5607,遠雄港,TSE,56161,-1000
2107,厚生,TSE,54562,0
1218,泰山,TSE,51000,0
2538,基泰,TSE,58000,0
6914,阜爾運通,TSE,54905,0
1104,環泥,TSE,53000,-3000
1535,中宇,TSE,54000,0
2707,晶華,TSE,53000,0
